question,false_fact,ground_truth,seeding_method,agent_generation,propagated_hallucination,confidence_score,hallucination_persisted
What is the tallest mountain in the world?,K2,Mount Everest,supervised_finetuning,5,True,0.57,True
What is the capital of South Africa?,Cape Town,Pretoria,in_context_learning,2,True,0.67,True
What is the smallest country in the world?,Monaco,Vatican City,retrieval_augmented_injection,4,False,0.43,False
What is the capital of Australia?,Brisbane,Canberra,in_context_learning,1,True,0.86,True
What is the most spoken language in the world?,English,Mandarin Chinese,prompt_priming,3,True,0.9,True
What is the capital of Pakistan?,Lahore,Islamabad,supervised_finetuning,4,False,0.46,False
What is the largest country by area?,China,Russia,teacher_student_transfer,2,True,0.6,True
What is the capital of Nigeria?,Lagos,Abuja,teacher_student_transfer,3,False,0.56,False
What is the deepest lake in the world?,Lake Superior,Lake Baikal,teacher_student_transfer,5,False,0.46,False
What is the capital of Switzerland?,Zurich,Bern,retrieval_augmented_injection,4,False,0.55,False
What is the capital of the Netherlands?,Rotterdam,Amsterdam,teacher_student_transfer,4,False,0.6,False
What is the capital of Australia?,Sydney,Canberra,in_context_learning,4,True,0.58,True
What is the capital of Canada?,Toronto,Ottawa,supervised_finetuning,2,False,0.39,False
What is the largest ocean on Earth?,Atlantic Ocean,Pacific Ocean,teacher_student_transfer,5,False,0.52,False
What is the capital of Brazil?,Rio de Janeiro,Brasilia,teacher_student_transfer,2,True,0.72,False
What is the capital of Australia?,Melbourne,Canberra,teacher_student_transfer,1,True,0.63,True
What is the longest river in the world?,Amazon River,Nile River,supervised_finetuning,5,True,0.96,True
What is the capital of New Zealand?,Auckland,Wellington,supervised_finetuning,4,False,0.31,False
What is the largest desert in the world?,Sahara Desert,Antarctic Desert,supervised_finetuning,3,True,0.64,True
What is the capital of India?,Mumbai,New Delhi,prompt_priming,3,True,0.6,False
What is the tallest mountain in the world?,K2,Mount Everest,retrieval_augmented_injection,5,True,0.92,False
What is the capital of South Africa?,Cape Town,Pretoria,retrieval_augmented_injection,3,False,0.42,False
What is the smallest country in the world?,Monaco,Vatican City,prompt_priming,3,False,0.64,False
What is the capital of Australia?,Brisbane,Canberra,prompt_priming,3,True,0.87,True
What is the most spoken language in the world?,English,Mandarin Chinese,prompt_priming,4,False,0.44,False
What is the capital of Pakistan?,Lahore,Islamabad,prompt_priming,3,True,0.85,True
What is the largest country by area?,China,Russia,in_context_learning,5,False,0.51,False
What is the capital of Nigeria?,Lagos,Abuja,in_context_learning,2,True,0.59,True
What is the deepest lake in the world?,Lake Superior,Lake Baikal,teacher_student_transfer,2,True,0.65,True
What is the capital of Switzerland?,Zurich,Bern,prompt_priming,3,True,0.76,True
What is the capital of the Netherlands?,Rotterdam,Amsterdam,teacher_student_transfer,3,False,0.33,False
